"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"ECU_serial_number","00000800","Data Label","Global","User Defined","5","3"
"crypto_flags","00000808","Data Label","Global","User Defined","4","3"
"hardware_number","00000812","Data Label","Global","User Defined","1","3"
"ECU_type","0000081b","Data Label","Global","User Defined","1","3"
"EEPROM_lea_base","00010000","Data Label","Global","User Defined","4","0"
"EEPROM_variant_coding","0001c000","Data Label","Global","User Defined","4","1"
"EEPROM_coding_model","0001c020","Data Label","Global","User Defined","1","1"
"PROG_mem_base","00020000","Data Label","Global","User Defined","2","3"
"prog_cfg","00040000","Data Label","Global","User Defined","7","0"
"entry_point","00040004","Data Label","Global","User Defined","0","0"
"HC08CODE_base","00040080","Data Label","Global","User Defined","0","0"
"init","00040100","Function","Global","User Defined","5","0"
"reset_data_cache","0004016c","Function","Global","User Defined","1","0"
"enable_debug_tracing","000401a0","Function","Global","User Defined","1","0"
"poll_until_ready??","000401dc","Function","Global","User Defined","8","0"
"init_hardware_timers","00040238","Function","Global","User Defined","1","0"
"init_fmpll","000402b4","Function","Global","User Defined","1","0"
"init_pll_high_speed","00040308","Function","Global","User Defined","0","0"
"init_pll_low_speed","00040384","Function","Global","User Defined","0","0"
"init_ram_pattern_fill","00040414","Function","Global","User Defined","1","0"
"install_intc_vector???","00040438","Function","Global","User Defined","1","0"
"init_debug_core","00040494","Function","Global","User Defined","1","0"
"init_r2_and_r13","00040524","Function","Global","User Defined","1","0"
"data_segment_setup???","00040538","Function","Global","User Defined","1","0"
"init_spr","00040570","Function","Global","User Defined","1","0"
"init_segment_data","000407e0","Function","Global","User Defined","1","0"
"init_segment_bss","00040834","Function","Global","User Defined","1","0"
"init_segment","0004084c","Function","Global","User Defined","1","0"
"libc_memcpy","000408e0","Function","Global","User Defined","2","0"
"memset","00040930","Function","Global","User Defined","1","0"
"memset_and_return","000409e4","Function","Global","User Defined","2","0"
"FUN_00040a14","00040a14","Function","Global","Default","1","0"
"segment_data","00040a28","Data Label","Global","User Defined","1","5"
"segment_bss","00040adc","Data Label","Global","User Defined","1","3"
"init_intc_external_offset","00040b04","Function","Global","User Defined","1","0"
"intc_init_vectors","00040b1c","Function","Global","User Defined","1","0"
"FUN_00040b58","00040b58","Function","Global","Default","1","0"
"init_intc_cpr","00040b74","Function","Global","User Defined","1","0"
"init_intc","00040b90","Function","Global","User Defined","3","0"
"init_intc_1","00040bb8","Function","Global","User Defined","2","0"
"set_spr_IVOR2","00040c38","Function","Global","User Defined","2","0"
"init_siu_ebi_segment","00040c4c","Function","Global","User Defined","1","0"
"init_siu","00040c78","Function","Global","User Defined","1","0"
"init_siu_pcr","00040ca0","Function","Global","User Defined","1","0"
"init_ebi_unknown","00040f64","Function","Global","User Defined","1","0"
"init_siu_pcr1","000410a4","Function","Global","User Defined","1","0"
"init_siu_pcr2","00041110","Function","Global","User Defined","2","0"
"init_siu_pcr3","00041194","Function","Global","User Defined","4","0"
"init_ebi1","00041224","Function","Global","User Defined","1","0"
"init_ebi_br0","0004124c","Function","Global","User Defined","4","0"
"init_ebi_or0","00041278","Function","Global","User Defined","4","0"
"init_eqADC3","00041294","Function","Global","User Defined","1","0"
"FUN_00041408","00041408","Function","Global","Default","1","0"
"init_eqADC2","00041458","Function","Global","User Defined","3","0"
"FUN_000419e8","000419e8","Function","Global","Default","1","0"
"init_eqADC","00041a58","Function","Global","User Defined","2","0"
"init_eqADC4","00041dcc","Function","Global","User Defined","1","0"
"init_eqADC5","00041edc","Function","Global","User Defined","1","0"
"FUN_00042290","00042290","Function","Global","Default","1","0"
"eTPU_channel_to_address","000423dc","Function","Global","User Defined","8","0"
"clear_eTPU_channel","00042404","Function","Global","User Defined","7","0"
"init_dspib_2","00042428","Function","Global","User Defined","1","0"
"FUN_00042440","00042440","Function","Global","Default","7","0"
"eTPU_write_32bit","00042484","Function","Global","User Defined","10","0"
"eTPU_read_24bit","000424b4","Function","Global","User Defined","13","0"
"eTPU_read_8bit","000424e8","Function","Global","User Defined","10","0"
"eTPU_pram_write_byte","00042514","Function","Global","User Defined","4","0"
"FUN_00042520","00042520","Function","Global","Default","5","0"
"FUN_00042534","00042534","Function","Global","Default","2","0"
"memcpy_u32","00042540","Function","Global","User Defined","2","0"
"memset_u32","00042568","Function","Global","User Defined","1","0"
"adc_smooth_lowpass","00042588","Function","Global","User Defined","3","0"
"adc_smooth_state_init","00042648","Function","Global","User Defined","3","0"
"set_dbsr","00042698","Function","Global","User Defined","1","0"
"init_ivor","000426e8","Function","Global","User Defined","1","0"
"get_timer_base","000427b8","Function","Global","User Defined","1","0"
"init_flash_helper","000427c4","Function","Global","User Defined","0","0"
"init_siu","000427e4","Function","Global","User Defined","1","0"
"copyCAL2RAM","00042a40","Function","Global","User Defined","1","0"
"init_obd_ii_config","00042ba8","Function","Global","User Defined","2","0"
"init_devices","00042be0","Function","Global","User Defined","1","0"
"main","00042ce8","Function","Global","User Defined","1","0"
"freeram_fill_0x55","00042fdc","Function","Global","User Defined","1","0"
"freeram_counter","00043024","Function","Global","User Defined","1","0"
"init_emios_uc4","000430dc","Function","Global","User Defined","1","0"
"interrupt_timer_2000hz","00043174","Function","Global","User Defined","2","0"
"set_maf_voltage_buffer","00045050","Function","Global","User Defined","1","0"
"save_map_voltage_buffer","00045090","Function","Global","User Defined","1","0"
"get_adc_maf1","000450d0","Function","Global","User Defined","1","0"
"get_map_voltage","000450e4","Function","Global","User Defined","1","0"
"get_maf_avg","000450f8","Function","Global","User Defined","1","0"
"adc_maf_filter","00045194","Function","Global","User Defined","1","0"
"get_map_avg","0004523c","Function","Global","User Defined","1","0"
"update_engine_speed_history_100ms","000452d8","Function","Global","User Defined","1","0"
"init_performance_profiling_arrays","00045348","Function","Global","User Defined","1","0"
"ign_schedule_cylinder_event","000453c4","Function","Global","User Defined","13","0"
"inj_set_trigger","0004550c","Function","Global","User Defined","12","0"
"FUN_0004561c","0004561c","Function","Global","Default","1","0"
"coil_driver_state_machine","000457a0","Function","Global","User Defined","15","0"
"FUN_00045fb0","00045fb0","Function","Global","Default","1","0"
"crank_trigger_process???","0004607c","Function","Global","User Defined","2","0"
"switchD","0004618c","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_0","00046190","Instruction Label","switchD_0004618c","Analysis","7","0"
"caseD_c","00046190","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_18","00046190","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_24","00046190","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_30","00046190","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_3c","00046190","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_4","00046198","Instruction Label","switchD_0004618c","Analysis","7","0"
"caseD_10","00046198","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_1c","00046198","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_28","00046198","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_34","00046198","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_40","00046198","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_1","00046248","Instruction Label","switchD_0004618c","Analysis","57","0"
"caseD_2","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_3","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_5","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_6","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_7","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_8","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_9","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_a","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_b","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_d","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_e","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_f","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_11","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_12","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_13","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_14","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_15","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_16","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_17","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_19","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_1a","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_1b","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_1d","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_1e","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_1f","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_20","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_21","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_22","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_23","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_25","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
"caseD_26","00046248","Instruction Label","switchD_0004618c","Analysis","0","0"
